"close period","memo version","line","account","sentence","check","result","finding","ask to the controller","reviewer answer","resolved","reviewer name","date","controller sign-off"
"June 2026 against May 2026","","4000","Product revenue, distribution","none","recompute","below","Change $372,000, 7.1% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","4100","Service revenue, equipment maintenance","none","recompute","clears","Change $229,000, 28.2% of the prior balance","","","","","",""
"June 2026 against May 2026","","4200","Freight billed to customers","none","recompute","clears","Change -$65,000, -34.9% of the prior balance","","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","none","recompute","below","Change $348,000, 8.9% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","5100","Inbound freight","none","recompute","clears","Change $73,800, 34.5% of the prior balance","","","","","",""
"June 2026 against May 2026","","6000","Warehouse wages","none","recompute","clears","Change $72,500, 11.5% of the prior balance","","","","","",""
"June 2026 against May 2026","","6100","Fleet fuel","none","recompute","below","Change -$5,200, -5.4% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","6200","Repairs and maintenance, depots","none","recompute","clears","Change $77,600, 189.3% of the prior balance","","","","","",""
"June 2026 against May 2026","","6300","Software subscriptions","none","recompute","below","Change $1,600, 5.6% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","none","recompute","clears","Change $47,000, 313.3% of the prior balance","","","","","",""
"June 2026 against May 2026","","6500","Professional fees","none","recompute","below","Change -$7,500, -13.6% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","7000","Depreciation","none","recompute","below","Change $0, 0.0% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","7100","Interest expense","none","recompute","clears","Change $31,200, 51.0% of the prior balance","","","","","",""
"June 2026 against May 2026","","7400","Inventory shrink adjustment","none","recompute","below","Change $2,500, 39.1% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","none","none","S1","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","none","none","S2","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","none","none","S3","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","4000, 4100","Product revenue, distribution; Service revenue, equipment maintenance","S4","match","pass","4000 Product revenue, distribution; 4100 Service revenue, equipment maintenance (by a word in the account name)","","","","","",""
"June 2026 against May 2026","","4000","Product revenue, distribution","S5","match","pass","4000 Product revenue, distribution (by account number)","","","","","",""
"June 2026 against May 2026","","4100","Service revenue, equipment maintenance","S6","match","pass","4100 Service revenue, equipment maintenance (by account number)","","","","","",""
"June 2026 against May 2026","","4200","Freight billed to customers","S7","match","pass","4200 Freight billed to customers (by account number)","","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","S8","match","pass","5000 Cost of product sold (by account name)","","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","S9","match","pass","5000 Cost of product sold (by account number)","","","","","",""
"June 2026 against May 2026","","4000, 4200, 5000","Product revenue, distribution; Freight billed to customers; Cost of product sold","S10","match","pass","4000 Product revenue, distribution; 4200 Freight billed to customers; 5000 Cost of product sold (by a word in the account name)","","","","","",""
"June 2026 against May 2026","","5100","Inbound freight","S11","match","pass","5100 Inbound freight (by account number)","","","","","",""
"June 2026 against May 2026","","none","none","S12","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","6000","Warehouse wages","S13","match","pass","6000 Warehouse wages (by account number)","","","","","",""
"June 2026 against May 2026","","none","none","S14","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","6100","Fleet fuel","S15","match","pass","6100 Fleet fuel (by account number)","","","","","",""
"June 2026 against May 2026","","none","none","S16","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","6200","Repairs and maintenance, depots","S17","match","pass","6200 Repairs and maintenance, depots (by account number)","","","","","",""
"June 2026 against May 2026","","6300","Software subscriptions","S18","match","pass","6300 Software subscriptions (by account number)","","","","","",""
"June 2026 against May 2026","","none","none","S19","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","S20","match","pass","6400 Bad debt expense (by account number)","","","","","",""
"June 2026 against May 2026","","6500","Professional fees","S21","match","pass","6500 Professional fees (by account number)","","","","","",""
"June 2026 against May 2026","","7000","Depreciation","S22","match","pass","7000 Depreciation (by account number)","","","","","",""
"June 2026 against May 2026","","7400","Inventory shrink adjustment","S23","match","pass","7400 Inventory shrink adjustment (by account number)","","","","","",""
"June 2026 against May 2026","","none","none","S24","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","none","none","S25","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","7100","Interest expense","S26","match","pass","7100 Interest expense (by account number)","","","","","",""
"June 2026 against May 2026","","none","none","S27","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","S28","match","pass","6400 Bad debt expense (by account name)","","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","S29","match","pass","6400 Bad debt expense (by account name)","","","","","",""
"June 2026 against May 2026","","none","none","S30","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","4000, 4100","Product revenue, distribution; Service revenue, equipment maintenance","S4","arithmetic","pass","This sentence carries no dollar figure and no percent, so there is nothing to recompute.","","","","","",""
"June 2026 against May 2026","","4000","Product revenue, distribution","S5","arithmetic","pass","$372,000 is the change on 4000 Product revenue, distribution. 7.1 percent ties to 4000 Product revenue, distribution moved 7.1%.","","","","","",""
"June 2026 against May 2026","","4100","Service revenue, equipment maintenance","S6","arithmetic","pass","$229,000 is the change on 4100 Service revenue, equipment maintenance. 28.2 percent ties to 4100 Service revenue, equipment maintenance moved 28.2%.","","","","","",""
"June 2026 against May 2026","","4200","Freight billed to customers","S7","arithmetic","pass","($65,000) is the change on 4200 Freight billed to customers. -34.9 percent ties to 4200 Freight billed to customers moved -34.9%.","","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","S8","arithmetic","pass","This sentence carries no dollar figure and no percent, so there is nothing to recompute.","","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","S9","arithmetic","pass","$348,000 is the change on 5000 Cost of product sold. 8.9 percent ties to 5000 Cost of product sold moved 8.9%.","","","","","",""
"June 2026 against May 2026","","4000, 4200, 5000","Product revenue, distribution; Freight billed to customers; Cost of product sold","S10","arithmetic","review","25.0 percent is not a line percent; nearest values: 4200 Freight billed to customers percent change -34.9%; 5000 Cost of product sold percent change 8.9%; 4000 Product revenue, distribution percent change 7.1%. 23.8 percent is not a line percent; nearest values: 4200 Freight billed to customers percent change -34.9%; 5000 Cost of product sold percent change 8.9%; 4000 Product revenue, distribution percent change 7.1%.","Confirm what this percent is measuring, since it is not the movement on the line.","","","","",""
"June 2026 against May 2026","","5100","Inbound freight","S11","arithmetic","pass","$73,800 is the change on 5100 Inbound freight. 34.5 percent ties to 5100 Inbound freight moved 34.5%.","","","","","",""
"June 2026 against May 2026","","6000","Warehouse wages","S13","arithmetic","pass","$72,500 is the change on 6000 Warehouse wages. 11.5 percent ties to 6000 Warehouse wages moved 11.5%.","","","","","",""
"June 2026 against May 2026","","6100","Fleet fuel","S15","arithmetic","pass","($5,200) is the change on 6100 Fleet fuel. -5.4 percent ties to 6100 Fleet fuel moved -5.4%.","","","","","",""
"June 2026 against May 2026","","6200","Repairs and maintenance, depots","S17","arithmetic","pass","$77,600 is the change on 6200 Repairs and maintenance, depots. 189.3 percent ties to 6200 Repairs and maintenance, depots moved 189.3%.","","","","","",""
"June 2026 against May 2026","","6300","Software subscriptions","S18","arithmetic","pass","$1,600 is the change on 6300 Software subscriptions. 5.6 percent ties to 6300 Software subscriptions moved 5.6%.","","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","S20","arithmetic","pass","$47,000 is the change on 6400 Bad debt expense. 313.3 percent ties to 6400 Bad debt expense moved 313.3%.","","","","","",""
"June 2026 against May 2026","","6500","Professional fees","S21","arithmetic","pass","($7,500) is the change on 6500 Professional fees. -13.6 percent ties to 6500 Professional fees moved -13.6%.","","","","","",""
"June 2026 against May 2026","","7000","Depreciation","S22","arithmetic","pass","$0 is the change on 7000 Depreciation.","","","","","",""
"June 2026 against May 2026","","7400","Inventory shrink adjustment","S23","arithmetic","pass","$2,500 is the change on 7400 Inventory shrink adjustment. 39.1 percent ties to 7400 Inventory shrink adjustment moved 39.1%.","","","","","",""
"June 2026 against May 2026","","7100","Interest expense","S26","arithmetic","pass","$31,200 is the change on 7100 Interest expense. 51.0 percent ties to 7100 Interest expense moved 51.0%.","","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","S28","arithmetic","fail","memo says $536,000; ledger current balance is $62,000. memo says $188,500; ledger current balance is $62,000. 8.6 percent is not a line percent; nearest values: 6400 Bad debt expense percent change 313.3%. 18.8 percent is not a line percent; nearest values: 6400 Bad debt expense percent change 313.3%.","Which figure is right, the memo or the ledger, and where did the memo's number come from?","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","S29","arithmetic","fail","memo says $105,500; ledger current balance is $62,000. -10.2 percent is not a line percent; nearest values: 6400 Bad debt expense percent change 313.3%.","Which figure is right, the memo or the ledger, and where did the memo's number come from?","","","","",""
"June 2026 against May 2026","","4000, 4100","Product revenue, distribution; Service revenue, equipment maintenance","S4","direction","pass","This sentence makes no claim about which way the account moved.","","","","","",""
"June 2026 against May 2026","","4000","Product revenue, distribution","S5","direction","pass","""higher"" agrees with 4000 Product revenue, distribution.","","","","","",""
"June 2026 against May 2026","","4100","Service revenue, equipment maintenance","S6","direction","pass","""growth"" agrees with 4100 Service revenue, equipment maintenance.","","","","","",""
"June 2026 against May 2026","","4200","Freight billed to customers","S7","direction","pass","This sentence makes no claim about which way the account moved.","","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","S8","direction","pass","This sentence makes no claim about which way the account moved.","","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","S9","direction","pass","""increase"" agrees with 5000 Cost of product sold.","","","","","",""
"June 2026 against May 2026","","4000, 4200, 5000","Product revenue, distribution; Freight billed to customers; Cost of product sold","S10","direction","pass","""increases"" agrees with the matched line.","","","","","",""
"June 2026 against May 2026","","5100","Inbound freight","S11","direction","pass","""increases"" agrees with 5100 Inbound freight.","","","","","",""
"June 2026 against May 2026","","6000","Warehouse wages","S13","direction","pass","""higher"" agrees with 6000 Warehouse wages.","","","","","",""
"June 2026 against May 2026","","6100","Fleet fuel","S15","direction","pass","""lower"" agrees with 6100 Fleet fuel.","","","","","",""
"June 2026 against May 2026","","6200","Repairs and maintenance, depots","S17","direction","pass","This sentence makes no claim about which way the account moved.","","","","","",""
"June 2026 against May 2026","","6300","Software subscriptions","S18","direction","pass","This sentence makes no claim about which way the account moved.","","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","S20","direction","pass","This sentence makes no claim about which way the account moved.","","","","","",""
"June 2026 against May 2026","","6500","Professional fees","S21","direction","pass","This sentence makes no claim about which way the account moved.","","","","","",""
"June 2026 against May 2026","","7000","Depreciation","S22","direction","pass","This sentence makes no claim about which way the account moved.","","","","","",""
"June 2026 against May 2026","","7400","Inventory shrink adjustment","S23","direction","pass","""higher"" agrees with 7400 Inventory shrink adjustment.","","","","","",""
"June 2026 against May 2026","","7100","Interest expense","S26","direction","pass","""higher"" agrees with 7100 Interest expense.","","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","S28","direction","pass","""increased"" agrees with the matched line; ""growth"" agrees with the matched line.","","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","S29","direction","fail","the memo says ""declined"" but 6400 Bad debt expense rose.","Which way did this account actually move, and does the driver still hold once the sign is right?","","","","",""
"June 2026 against May 2026","","4000","Product revenue, distribution","S5","threshold","info","No commentary owed; fine if correct. 4000 Product revenue, distribution moved $372,000, 7.1%, which does not clear the rule.","","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","S8","threshold","info","No commentary owed; fine if correct. 5000 Cost of product sold moved $348,000, 8.9%, which does not clear the rule.","","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","S9","threshold","info","No commentary owed; fine if correct. 5000 Cost of product sold moved $348,000, 8.9%, which does not clear the rule.","","","","","",""
"June 2026 against May 2026","","6100","Fleet fuel","S15","threshold","info","No commentary owed; fine if correct. 6100 Fleet fuel moved -$5,200, -5.4%, which does not clear the rule.","","","","","",""
"June 2026 against May 2026","","6300","Software subscriptions","S18","threshold","info","No commentary owed; fine if correct. 6300 Software subscriptions moved $1,600, 5.6%, which does not clear the rule.","","","","","",""
"June 2026 against May 2026","","6500","Professional fees","S21","threshold","info","No commentary owed; fine if correct. 6500 Professional fees moved -$7,500, -13.6%, which does not clear the rule.","","","","","",""
"June 2026 against May 2026","","7000","Depreciation","S22","threshold","info","No commentary owed; fine if correct. 7000 Depreciation moved $0, 0.0%, which does not clear the rule.","","","","","",""
"June 2026 against May 2026","","7400","Inventory shrink adjustment","S23","threshold","info","No commentary owed; fine if correct. 7400 Inventory shrink adjustment moved $2,500, 39.1%, which does not clear the rule.","","","","","",""
"June 2026 against May 2026","","4000, 4100","Product revenue, distribution; Service revenue, equipment maintenance","S4","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","4000","Product revenue, distribution","S5","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","4100","Service revenue, equipment maintenance","S6","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","4200","Freight billed to customers","S7","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","S8","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","S9","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","4000, 4200, 5000","Product revenue, distribution; Freight billed to customers; Cost of product sold","S10","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","5100","Inbound freight","S11","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","6000","Warehouse wages","S13","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","6100","Fleet fuel","S15","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","6200","Repairs and maintenance, depots","S17","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","6300","Software subscriptions","S18","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","S20","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","6500","Professional fees","S21","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","7000","Depreciation","S22","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","7400","Inventory shrink adjustment","S23","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","7100","Interest expense","S26","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","4000","Product revenue, distribution","none","read together","review","Read together: 3 sentences on this account (S4, S5, S10). The checker does not test them against each other.","Do these sentences agree with one another, and if not, which one holds?","","","","",""
"June 2026 against May 2026","","4100","Service revenue, equipment maintenance","none","read together","review","Read together: 2 sentences on this account (S4, S6). The checker does not test them against each other.","Do these sentences agree with one another, and if not, which one holds?","","","","",""
"June 2026 against May 2026","","4200","Freight billed to customers","none","read together","review","Read together: 2 sentences on this account (S7, S10). The checker does not test them against each other.","Do these sentences agree with one another, and if not, which one holds?","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","none","read together","review","Read together: 3 sentences on this account (S8, S9, S10). The checker does not test them against each other.","Do these sentences agree with one another, and if not, which one holds?","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","none","read together","review","Read together: 3 sentences on this account (S20, S28, S29). The checker does not test them against each other.","Do these sentences agree with one another, and if not, which one holds?","","","","",""
