"close period","memo version","line","account","sentence","check","result","finding","ask to the controller","reviewer answer","resolved","reviewer name","date","controller sign-off"
"June 2026 against May 2026","","4000","Product revenue, distribution","none","recompute","below","Change $372,000, 7.1% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","4100","Service revenue, equipment maintenance","none","recompute","clears","Change $229,000, 28.2% of the prior balance","","","","","",""
"June 2026 against May 2026","","4200","Freight billed to customers","none","recompute","clears","Change -$65,000, -34.9% of the prior balance","","","","","",""
"June 2026 against May 2026","","5000","Cost of product sold","none","recompute","below","Change $348,000, 8.9% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","5100","Inbound freight","none","recompute","clears","Change $73,800, 34.5% of the prior balance","","","","","",""
"June 2026 against May 2026","","6000","Warehouse wages","none","recompute","clears","Change $72,500, 11.5% of the prior balance","","","","","",""
"June 2026 against May 2026","","6100","Fleet fuel","none","recompute","below","Change -$5,200, -5.4% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","6200","Repairs and maintenance, depots","none","recompute","clears","Change $77,600, 189.3% of the prior balance","","","","","",""
"June 2026 against May 2026","","6300","Software subscriptions","none","recompute","below","Change $1,600, 5.6% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","none","recompute","clears","Change $47,000, 313.3% of the prior balance","","","","","",""
"June 2026 against May 2026","","6500","Professional fees","none","recompute","below","Change -$7,500, -13.6% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","7000","Depreciation","none","recompute","below","Change $0, 0.0% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","7100","Interest expense","none","recompute","clears","Change $31,200, 51.0% of the prior balance","","","","","",""
"June 2026 against May 2026","","7400","Inventory shrink adjustment","none","recompute","below","Change $2,500, 39.1% of the prior balance, no commentary owed","","","","","",""
"June 2026 against May 2026","","4100","Service revenue, equipment maintenance","1","match","pass","4100 Service revenue, equipment maintenance (by account number)","","","","","",""
"June 2026 against May 2026","","4200","Freight billed to customers","2","match","pass","4200 Freight billed to customers (by account number)","","","","","",""
"June 2026 against May 2026","","5100","Inbound freight","3","match","pass","5100 Inbound freight (by account number)","","","","","",""
"June 2026 against May 2026","","6000","Warehouse wages","4","match","pass","6000 Warehouse wages (by account number)","","","","","",""
"June 2026 against May 2026","","6200","Repairs and maintenance, depots","5","match","pass","6200 Repairs and maintenance, depots (by account number)","","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","6","match","pass","6400 Bad debt expense (by account number)","","","","","",""
"June 2026 against May 2026","","7100","Interest expense","7","match","pass","7100 Interest expense (by account number)","","","","","",""
"June 2026 against May 2026","","none","none","S8","match","review","No account number, no name and no amount in this sentence ties to a ledger line.","Which account is this sentence about, and what amount does it rest on?","","","","",""
"June 2026 against May 2026","","4100","Service revenue, equipment maintenance","1","arithmetic","pass","$812,000 is the prior balance on 4100 Service revenue, equipment maintenance. $1,041,000 is the current balance on 4100 Service revenue, equipment maintenance. $229,000 is the change on 4100 Service revenue, equipment maintenance. 28.2 percent ties to 4100 Service revenue, equipment maintenance moved 28.2%.","","","","","",""
"June 2026 against May 2026","","4200","Freight billed to customers","2","arithmetic","pass","$186,000 is the prior balance on 4200 Freight billed to customers. $121,000 is the current balance on 4200 Freight billed to customers. $65,000 is the change on 4200 Freight billed to customers. 34.9 percent ties to 4200 Freight billed to customers moved -34.9%.","","","","","",""
"June 2026 against May 2026","","5100","Inbound freight","3","arithmetic","pass","$214,000 is the prior balance on 5100 Inbound freight. $287,800 is the current balance on 5100 Inbound freight. $73,800 is the change on 5100 Inbound freight. 34.5 percent ties to 5100 Inbound freight moved 34.5%.","","","","","",""
"June 2026 against May 2026","","6000","Warehouse wages","4","arithmetic","pass","$630,000 is the prior balance on 6000 Warehouse wages. $702,500 is the current balance on 6000 Warehouse wages. $72,500 is the change on 6000 Warehouse wages. 11.5 percent ties to 6000 Warehouse wages moved 11.5%.","","","","","",""
"June 2026 against May 2026","","6200","Repairs and maintenance, depots","5","arithmetic","pass","$41,000 is the prior balance on 6200 Repairs and maintenance, depots. $118,600 is the current balance on 6200 Repairs and maintenance, depots. $77,600 is the change on 6200 Repairs and maintenance, depots. 189.3 percent ties to 6200 Repairs and maintenance, depots moved 189.3%.","","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","6","arithmetic","pass","$15,000 is the prior balance on 6400 Bad debt expense. $62,000 is the current balance on 6400 Bad debt expense. $47,000 is the change on 6400 Bad debt expense. 313.3 percent ties to 6400 Bad debt expense moved 313.3%.","","","","","",""
"June 2026 against May 2026","","7100","Interest expense","7","arithmetic","pass","$61,200 is the prior balance on 7100 Interest expense. $92,400 is the current balance on 7100 Interest expense. $31,200 is the change on 7100 Interest expense. 51.0 percent ties to 7100 Interest expense moved 51.0%.","","","","","",""
"June 2026 against May 2026","","4100","Service revenue, equipment maintenance","1","direction","pass","""rose"" agrees with 4100 Service revenue, equipment maintenance.","","","","","",""
"June 2026 against May 2026","","4200","Freight billed to customers","2","direction","pass","""fell"" agrees with 4200 Freight billed to customers.","","","","","",""
"June 2026 against May 2026","","5100","Inbound freight","3","direction","pass","""rose"" agrees with 5100 Inbound freight.","","","","","",""
"June 2026 against May 2026","","6000","Warehouse wages","4","direction","pass","""rose"" agrees with 6000 Warehouse wages.","","","","","",""
"June 2026 against May 2026","","6200","Repairs and maintenance, depots","5","direction","pass","""rose"" agrees with 6200 Repairs and maintenance, depots.","","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","6","direction","pass","""rose"" agrees with 6400 Bad debt expense.","","","","","",""
"June 2026 against May 2026","","7100","Interest expense","7","direction","pass","""rose"" agrees with 7100 Interest expense.","","","","","",""
"June 2026 against May 2026","","4100","Service revenue, equipment maintenance","1","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","4200","Freight billed to customers","2","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","5100","Inbound freight","3","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","6000","Warehouse wages","4","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","6200","Repairs and maintenance, depots","5","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","6400","Bad debt expense","6","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
"June 2026 against May 2026","","7100","Interest expense","7","reviewer","review","The arithmetic and the direction hold. What is left is judgment, and the checker does not make it.","Is the driver named here supported by anything on file? Is the period right (nothing pulled forward or deferred)?","","","","",""
