"run id","run timestamp","close period","reviewed memo version","source version","evidence id","sentence id","sentence text","line","account","check","status","finding","proposed conclusion","human conclusion","unresolved issue","action owner","review time"
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e2","","","4000","Recurring managed services","Recompute","checked within scope","Prior $161,500, current $198,400, change $36,900, 22.8% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e3","","","4100","Project and implementation revenue","Recompute","checked within scope","Prior $38,900, current $96,400, change $57,500, 147.8% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e4","","","5000","Subcontracted engineering","Recompute","checked within scope","Prior $41,800, current $88,300, change $46,500, 111.2% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e5","","","6000","Salaries and wages","Recompute","checked within scope","Prior $88,500, current $88,500, change $0, 0.0% of the prior balance. Dollar leg (more than $25,000): not met. Percent leg (at least 10 percent): not met.","BELOW THE RULE","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e6","","","6200","Software licences and hosting","Recompute","checked within scope","Prior $22,600, current $57,900, change $35,300, 156.2% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e7","","","6400","Client acquisition costs","Recompute","checked within scope","Prior $4,900, current $14,200, change $9,300, 189.8% of the prior balance. Dollar leg (more than $25,000): not met. Percent leg (at least 10 percent): met.","BELOW THE RULE","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e8","","","total","Total Income","Totals tie","checked within scope","The 2 lines under ""Income"" add to $200,400 prior and $294,800 current, which is what the total row says.","TIES","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e9","","","total","Total Cost of Goods Sold","Totals tie","checked within scope","The 1 line under ""Cost of Goods Sold"" adds to $41,800 prior and $88,300 current, which is what the total row says.","TIES","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e10","","","total","Gross Profit","Totals tie","not checked","Kept out of the line checks. This is a total computed across sections, so the checker does not recompute it from lines.","KEPT OUT","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e11","","","total","Total Expenses","Totals tie","checked within scope","The 3 lines under ""Expenses"" add to $116,000 prior and $160,600 current, which is what the total row says.","TIES","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e12","","","total","Net Operating Income","Totals tie","not checked","Kept out of the line checks. This is a total computed across sections, so the checker does not recompute it from lines.","KEPT OUT","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e13","","","total","Net Income","Totals tie","not checked","Kept out of the line checks. This is a total computed across sections, so the checker does not recompute it from lines.","KEPT OUT","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e14","S1","4000 Recurring managed services rose $36,900, or 22.85 percent, to $198,400. The statement does not carry the cause, so the driver has to come from the July billing register: confirm how much is new agreements that began in July, how much is contracted rate increases on existing clients, and whether any of it is June service billed late.","4000","Recurring managed services","Binding","checked within scope","4000 Recurring managed services (by account number)","BOUND","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e15","S1","4000 Recurring managed services rose $36,900, or 22.85 percent, to $198,400. The statement does not carry the cause, so the driver has to come from the July billing register: confirm how much is new agreements that began in July, how much is contracted rate increases on existing clients, and whether any of it is June service billed late.","4000","Recurring managed services","Figure $36,900","checked within scope","$36,900 is the absolute movement on 4000 Recurring managed services, $36,900 unrounded, and the role was read from the direction word ""rose"".","DOLLARS, ROLE ABSOLUTE MOVEMENT","","","",""
"run-4-1vyw4m","2026-09-13T10:48:06.317Z","July 2026","AI draft, blind run","src-1vyw4mc-2389","run-4-1vyw4m/e16","S1","4000 Recurring managed services rose $36,900, or 22.85 percent, to $198,400. The statement does not carry the cause, so the driver has to come from the July billing register: confirm how much is new agreements that began in July, how much is contracted rate increases on existing clients, and whether any of it is June service billed late.","4000","Recurring managed services","Figure 22.85 percent","checked within scope","22.85 percent is the relative movement, 4000 Recurring managed services percent change at 22.8% unrounded, and the role was read from ""or"", restating the figure before it.","PERCENT, ROLE RELATIVE MOVEMENT","","","",""
