"run id","run timestamp","close period","reviewed memo version","source version","evidence id","sentence id","sentence text","line","account","check","status","finding","proposed conclusion","human conclusion","unresolved issue","action owner","review time"
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e2","","","4010","Patient service revenue, net","Recompute","checked within scope","Prior $742,000, current $803,500, change $61,500, 8.3% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): not met.","BELOW THE RULE","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e3","","","4220","Orthodontic plan revenue","Recompute","checked within scope","Prior $96,000, current $138,400, change $42,400, 44.2% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e4","","","5210","Dental supplies and lab fees","Recompute","checked within scope","Prior $138,500, current $191,200, change $52,700, 38.1% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e5","","","6110","Hygienist wages","Recompute","checked within scope","Prior $214,000, current $268,900, change $54,900, 25.7% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e6","","","6610","Marketing and patient outreach","Recompute","checked within scope","Prior $18,400, current $24,100, change $5,700, 31.0% of the prior balance. Dollar leg (more than $25,000): not met. Percent leg (at least 10 percent): met.","BELOW THE RULE","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e7","S1","4220 Orthodontic plan revenue rose $42,400, or 44.2 percent, over May.","4220","Orthodontic plan revenue","Binding","checked within scope","4220 Orthodontic plan revenue (by account number)","BOUND","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e8","S1","4220 Orthodontic plan revenue rose $42,400, or 44.2 percent, over May.","4220","Orthodontic plan revenue","Figure $42,400","checked within scope","$42,400 is the absolute movement on 4220 Orthodontic plan revenue, $42,400 unrounded, and the role was read from the direction word ""rose"".","DOLLARS, ROLE ABSOLUTE MOVEMENT","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e9","S1","4220 Orthodontic plan revenue rose $42,400, or 44.2 percent, over May.","4220","Orthodontic plan revenue","Figure 44.2 percent","checked within scope","44.2 percent is the relative movement, 4220 Orthodontic plan revenue percent change at 44.2% unrounded, and the role was read from ""or"", restating the figure before it.","PERCENT, ROLE RELATIVE MOVEMENT","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e10","S1","4220 Orthodontic plan revenue rose $42,400, or 44.2 percent, over May.","4220","Orthodontic plan revenue","Direction","checked within scope","""rose"" agrees with 4220 Orthodontic plan revenue.","PASS","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e11","S1","4220 Orthodontic plan revenue rose $42,400, or 44.2 percent, over May.","4220","Orthodontic plan revenue","Sentence status","checked within scope","Every figure in this sentence carries a role read from the words, a unit, and an unrounded comparison with the ledger, and each one agreed. That is the whole of what was checked; the judgment is not.","CHECKED WITHIN SCOPE","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e12","S2","Reason pending: the schedule shows no plan starts, contract values or fee changes, so the driver has to come from the orthodontic contract detail before this line can be explained.","4220","Orthodontic plan revenue","Binding","checked within scope","4220 Orthodontic plan revenue (by a word in the account name)","BOUND","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e13","S2","Reason pending: the schedule shows no plan starts, contract values or fee changes, so the driver has to come from the orthodontic contract detail before this line can be explained.","4220","Orthodontic plan revenue","Direction","not checked","This sentence makes no claim about which way the account moved.","NOT STATED","","","",""
"run-2-1buavk","2026-09-13T10:46:40.588Z","June 2026","AI draft, blind run","src-1buavk8-1213","run-2-1buavk/e15","S2","Reason pending: the schedule shows no plan starts, contract values or fee changes, so the driver has to come from the orthodontic contract detail before this line can be explained.","4220","Orthodontic plan revenue","Sentence status","not checked","Nothing in this sentence could be tied to the ledger and tested. That is not the same as a sentence that was checked and found true.","NOT CHECKED","","","",""
