Line	Account	Prior	Current	Variance	Percent
4000	Product revenue, distribution	5,240,000	5,612,000	372,000	7.1%
4100	Service revenue, equipment maintenance	812,000	1,041,000	229,000	28.2%
4200	Freight billed to customers	186,000	121,000	(65,000)	-34.9%
5000	Cost of product sold	3,930,000	4,278,000	348,000	8.9%
5100	Inbound freight	214,000	287,800	73,800	34.5%
6000	Warehouse wages	630,000	702,500	72,500	11.5%
6100	Fleet fuel	96,400	91,200	(5,200)	-5.4%
6200	Repairs and maintenance, depots	41,000	118,600	77,600	189.3%
6300	Software subscriptions	28,500	30,100	1,600	5.6%
6400	Bad debt expense	15,000	62,000	47,000	313.3%
6500	Professional fees	55,000	47,500	(7,500)	-13.6%
7000	Depreciation	128,000	128,000	0	0.0%
7100	Interest expense	61,200	92,400	31,200	51.0%
7400	Inventory shrink adjustment	6,400	8,900	2,500	39.1%
