"run id","run timestamp","close period","reviewed memo version","source version","evidence id","sentence id","sentence text","line","account","check","status","finding","proposed conclusion","human conclusion","unresolved issue","action owner","review time"
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e2","","","4000","Recurring managed services","Recompute","checked within scope","Prior $161,500, current $198,400, change $36,900, 22.8% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e3","","","4100","Project and implementation revenue","Recompute","checked within scope","Prior $38,900, current $96,400, change $57,500, 147.8% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e4","","","5000","Subcontracted engineering","Recompute","checked within scope","Prior $41,800, current $88,300, change $46,500, 111.2% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e5","","","6000","Salaries and wages","Recompute","checked within scope","Prior $88,500, current $88,500, change $0, 0.0% of the prior balance. Dollar leg (more than $25,000): not met. Percent leg (at least 10 percent): not met.","BELOW THE RULE","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e6","","","6200","Software licences and hosting","Recompute","checked within scope","Prior $22,600, current $57,900, change $35,300, 156.2% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e7","","","6400","Client acquisition costs","Recompute","checked within scope","Prior $4,900, current $14,200, change $9,300, 189.8% of the prior balance. Dollar leg (more than $25,000): not met. Percent leg (at least 10 percent): met.","BELOW THE RULE","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e8","","","total","Total Income","Totals tie","checked within scope","The 2 lines under ""Income"" add to $200,400 prior and $294,800 current, which is what the total row says.","TIES","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e9","","","total","Total Cost of Goods Sold","Totals tie","checked within scope","The 1 line under ""Cost of Goods Sold"" adds to $41,800 prior and $88,300 current, which is what the total row says.","TIES","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e10","","","total","Gross Profit","Totals tie","not checked","Kept out of the line checks. This is a total computed across sections, so the checker does not recompute it from lines.","KEPT OUT","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e11","","","total","Total Expenses","Totals tie","checked within scope","The 3 lines under ""Expenses"" add to $116,000 prior and $160,600 current, which is what the total row says.","TIES","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e12","","","total","Net Operating Income","Totals tie","not checked","Kept out of the line checks. This is a total computed across sections, so the checker does not recompute it from lines.","KEPT OUT","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e13","","","total","Net Income","Totals tie","not checked","Kept out of the line checks. This is a total computed across sections, so the checker does not recompute it from lines.","KEPT OUT","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e14","1","4000 Recurring managed services: prior $161,500.00, current $198,400.00, rose by $36,900.00, 22.85 percent, because no source on file (source: no source on file).","4000","Recurring managed services","Binding","checked within scope","4000 Recurring managed services (by account number)","BOUND","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e16","1","4000 Recurring managed services: prior $161,500.00, current $198,400.00, rose by $36,900.00, 22.85 percent, because no source on file (source: no source on file).","4000","Recurring managed services","Figure $161,500.00","needs review","$161,500.00: the words around it do not say what it is, and it equals the prior balance on 4000 Recurring managed services. Confirm the role before this figure counts as checked.","DOLLARS, ROLE UNKNOWN","","What is $161,500.00 in this sentence: a prior balance, a current balance, a movement or a ratio?","Preparer",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e18","1","4000 Recurring managed services: prior $161,500.00, current $198,400.00, rose by $36,900.00, 22.85 percent, because no source on file (source: no source on file).","4000","Recurring managed services","Figure $198,400.00","needs review","$198,400.00: the words around it do not say what it is, and it equals the current balance on 4000 Recurring managed services. Confirm the role before this figure counts as checked.","DOLLARS, ROLE UNKNOWN","","What is $198,400.00 in this sentence: a prior balance, a current balance, a movement or a ratio?","Preparer",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e19","1","4000 Recurring managed services: prior $161,500.00, current $198,400.00, rose by $36,900.00, 22.85 percent, because no source on file (source: no source on file).","4000","Recurring managed services","Figure $36,900.00","checked within scope","$36,900.00 is the absolute movement on 4000 Recurring managed services, $36,900 unrounded, and the role was read from the word ""by"".","DOLLARS, ROLE ABSOLUTE MOVEMENT","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e20","1","4000 Recurring managed services: prior $161,500.00, current $198,400.00, rose by $36,900.00, 22.85 percent, because no source on file (source: no source on file).","4000","Recurring managed services","Figure 22.85 percent","checked within scope","22.85 percent is the relative movement, 4000 Recurring managed services percent change at 22.8% unrounded, and the role was read from the word ""by"".","PERCENT, ROLE RELATIVE MOVEMENT","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e21","1","4000 Recurring managed services: prior $161,500.00, current $198,400.00, rose by $36,900.00, 22.85 percent, because no source on file (source: no source on file).","4000","Recurring managed services","Direction","checked within scope","""rose"" agrees with 4000 Recurring managed services.","PASS","","","",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e22","1","4000 Recurring managed services: prior $161,500.00, current $198,400.00, rose by $36,900.00, 22.85 percent, because no source on file (source: no source on file).","4000","Recurring managed services","Sentence status","needs review","Something here is unresolved: a role the words do not give, a binding the checker will not settle, a percent it cannot compute, or a ledger question above it. It cannot be called checked until a person answers it.","NEEDS REVIEW","","","Preparer",""
"run-5-1313nb","2026-09-13T10:48:18.706Z","July 2026","AI draft, Prompt 1 run","src-1313nb5-1737","run-5-1313nb/e23","2","4100 Project and implementation revenue: prior $38,900.00, current $96,400.00, rose by $57,500.00, 147.81 percent, because no source on file (source: no source on file).","4100","Project and implementation revenue","Binding","checked within scope","4100 Project and implementation revenue (by account number)","BOUND","","","",""
